sensor_id,sensor_type,metric,value,unit,timestamp_unix_ms,alert,alert_message
"air-1",2,"co2",572.1,"ppm",1781051011418,0,""
"air-1",2,"humidity",66.43,"%",1781051011418,0,""
"air-1",2,"co2",752.79,"ppm",1781051013419,0,""
"air-1",2,"humidity",37.51,"%",1781051013419,0,""
"air-1",2,"co2",1175.95,"ppm",1781051015433,1,"CO2 acima do limiar (900.00)"
"air-1",2,"humidity",75.5,"%",1781051015433,0,""
"air-1",2,"co2",773.86,"ppm",1781051017434,0,""
"air-1",2,"humidity",61.71,"%",1781051017434,0,""
"air-1",2,"co2",402.22,"ppm",1781051019437,0,""
"air-1",2,"humidity",71.78,"%",1781051019437,0,""
"air-1",2,"co2",546.51,"ppm",1781051021438,0,""
"air-1",2,"humidity",45.83,"%",1781051021438,0,""
"air-1",2,"co2",836.15,"ppm",1781051023441,0,""
"air-1",2,"humidity",39.9,"%",1781051023441,0,""
"air-1",2,"co2",593.07,"ppm",1781051276835,0,""
"air-1",2,"humidity",79.83,"%",1781051276835,0,""
"air-1",2,"co2",1056.83,"ppm",1781051278838,1,"CO2 acima do limiar (900.00)"
"air-1",2,"humidity",44.26,"%",1781051278838,0,""
"air-1",2,"co2",1004.78,"ppm",1781051280839,1,"CO2 acima do limiar (900.00)"
"air-1",2,"humidity",51.32,"%",1781051280839,0,""
"air-1",2,"co2",758.58,"ppm",1781051282839,0,""
"air-1",2,"humidity",36.97,"%",1781051282839,0,""
"air-1",2,"co2",821.47,"ppm",1781051284853,0,""
"air-1",2,"humidity",54.52,"%",1781051284853,0,""
"air-1",2,"co2",1196.83,"ppm",1781051286855,1,"CO2 acima do limiar (900.00)"
"air-1",2,"humidity",63.51,"%",1781051286855,0,""
"air-1",2,"co2",714.27,"ppm",1781052793571,0,""
"air-1",2,"humidity",59,"%",1781052793571,0,""
"air-1",2,"co2",785.05,"ppm",1781052795586,0,""
"air-1",2,"humidity",55.17,"%",1781052795586,0,""
"air-1",2,"co2",572.17,"ppm",1781052797589,0,""
"air-1",2,"humidity",58.73,"%",1781052797589,0,""
"air-1",2,"co2",1059.71,"ppm",1781052799604,1,"CO2 acima do limiar (900.00)"
"air-1",2,"humidity",47.64,"%",1781052799604,0,""
"air-1",2,"co2",756.26,"ppm",1781052801606,0,""
"air-1",2,"humidity",45.08,"%",1781052801606,0,""
"air-1",2,"co2",508.11,"ppm",1781052803621,0,""
"air-1",2,"humidity",65.67,"%",1781052803621,0,""
"air-1",2,"co2",547.44,"ppm",1781052805622,0,""
"air-1",2,"humidity",56.53,"%",1781052805622,0,""
