sensor_id,sensor_type,metric,value,unit,timestamp_unix_ms,alert,alert_message
"temp-1",1,"temperature",21.44,"C",1781051011835,0,""
"temp-1",1,"temperature",22.81,"C",1781051013838,0,""
"temp-1",1,"temperature",32.33,"C",1781051015850,0,""
"temp-1",1,"temperature",23.05,"C",1781051017852,0,""
"temp-1",1,"temperature",28.48,"C",1781051019854,0,""
"temp-1",1,"temperature",29.04,"C",1781051021867,0,""
"temp-1",1,"temperature",23.96,"C",1781051023869,0,""
"temp-1",1,"temperature",21.74,"C",1781051202297,0,""
"temp-1",1,"temperature",22.73,"C",1781051204309,0,""
"temp-1",1,"temperature",32.93,"C",1781051206311,0,""
"temp-1",1,"temperature",19.74,"C",1781051208326,0,""
"temp-1",1,"temperature",20.36,"C",1781051210327,0,""
"temp-1",1,"temperature",23.42,"C",1781051212342,0,""
"temp-1",1,"temperature",23.19,"C",1781051214343,0,""
"temp-1",1,"temperature",29.83,"C",1781051216343,0,""
"temp-1",1,"temperature",29.76,"C",1781051218358,0,""
"temp-1",1,"temperature",21.8,"C",1781051236606,0,""
"temp-1",1,"temperature",19.66,"C",1781051238620,0,""
"temp-1",1,"temperature",26.95,"C",1781051240624,0,""
"temp-1",1,"temperature",26.73,"C",1781051242640,0,""
"temp-1",1,"temperature",25.68,"C",1781051244642,0,""
"temp-1",1,"temperature",28.45,"C",1781051246658,0,""
"temp-1",1,"temperature",29.9,"C",1781051248672,0,""
"temp-1",1,"temperature",26.28,"C",1781051258700,0,""
"temp-1",1,"temperature",32.16,"C",1781051260706,0,""
"temp-1",1,"temperature",21.32,"C",1781051262713,0,""
"temp-1",1,"temperature",26.84,"C",1781051264722,0,""
"temp-1",1,"temperature",23.22,"C",1781051266723,0,""
"temp-1",1,"temperature",31.6,"C",1781051268724,0,""
"temp-1",1,"temperature",24.96,"C",1781051270725,0,""
"temp-1",1,"temperature",28.13,"C",1781051272737,0,""
"temp-1",1,"temperature",24.62,"C",1781051274738,0,""
"temp-1",1,"temperature",29.85,"C",1781051276739,0,""
"temp-1",1,"temperature",32.05,"C",1781051278754,0,""
"temp-1",1,"temperature",21.85,"C",1781051280755,0,""
"temp-1",1,"temperature",32.84,"C",1781051282756,0,""
"temp-1",1,"temperature",29.78,"C",1781051284770,0,""
"temp-1",1,"temperature",28.06,"C",1781051286771,0,""
"temp-1",1,"temperature",29.43,"C",1781051288772,0,""
